data;modalidade;tempo;km;km/h;m/km;b/c;m/500;swolf;terreno;altimetria;cal;fadiga;temperatura;tipo treino;sozinho;prova
06/10/16;Natação;0:18:05; 0,68   ;2.3;NA;14;13.15;39;Piscina;NA;164;1;NA;continuo;Sozinho;n
09/10/16;Corrida;0:37:51; 6,50   ;10.3;5.49;NA;NA;NA;Misto;85;482;1;NA;continuo;Sozinho;n
09/10/16;Natação;0:29:19; 1,10   ;2.3;NA;15;NA;40;Piscina;NA;269;2;NA;continuo;Sozinho;n
11/10/16;Corrida;1:06:21; 10,00   ;9.0;6.38;NA;NA;NA;Estrada;75;765;2;NA;continuo;Sozinho;n
13/10/16;Corrida;0:27:14; 5,00   ;11.0;5.26;NA;NA;NA;Estrada;48;364;2;NA;continuo;Sozinho;n
15/10/16;Bicicleta;0:41:43; 9,25   ;13.3;NA;NA;NA;NA;Estrada;71;229;2;NA;continuo;Acompanhado;n
16/10/16;Bicicleta;1:28:47; 20,33   ;13.7;NA;NA;NA;NA;Estrada;163;502;1;NA;continuo;Acompanhado;n
18/10/16;Corrida;0:45:24; 6,18   ;8.2;7.21;NA;NA;NA;Estrada;28;472;4;NA;continuo;Sozinho;n
24/10/16;Natação;0:28:55; 1,05   ;2.2;NA;14;13.3;40;Piscina;NA;270;2;NA;500.500;Sozinho;n
26/10/16;Corrida;0:42:09; 6,06   ;8.6;6.59;NA;NA;NA;Trail;111;473;2;6;continuo;Sozinho;n
28/10/16;Natação;0:29:16; 1,05   ;2.16;NA;14;13.8;42;Piscina;NA;256;2;NA;500.500;Sozinho;n
31/10/16;Natação;0:25:21; 1,05   ;2.55;NA;13;12.45;36;Piscina;NA;238;1;NA;500.500;Sozinho;n
31/10/16;Bicicleta;1:59:00; 31,02   ;15.5;NA;NA;NA;NA;Estrada;139;857;1;4;continuo;Sozinho;n
02/11/16;Corrida;0:46:36; 7,01   ;9.0;6.39;NA;NA;NA;Estrada;47;537;2;0;continuo;Sozinho;n
04/11/16;Natação;0:25:00; 1,00   ;2.4;NA;NA;NA;NA;Piscina;NA;230;2;NA;continuo;Sozinho;n
06/11/16;Corrida;0:29:37; 5,00   ;10.1;5.55;NA;NA;NA;Trail;80;375;1.5;-2;continuo;Sozinho;n
08/11/16;Corrida;0:38:09; 5,50   ;8.7;6.56;NA;NA;NA;Neve;79;437;2;-3;continuo;Sozinho;n
15/11/16;Natação;0:24:40; 1,02   ;2.6;NA;13;12:20;35;Piscina;NA;229;2;NA;500.500;Sozinho;n
16/11/16;Natação;0:40:02; 1,50   ;2.3;NA;14;13:00;40;Piscina;NA;373;2;NA;500.500;Sozinho;n
22/11/16;Corrida;0:48:08; 6,50   ;8.5;7.05;NA;NA;Na;Estrada;44;520;2.5;7;continuo;Sozinho;n
23/11/16;Natação;0:26:40; 1,00   ;2.2;NA;14;12:22;40;Piscina;NA;244;2;NA;500.500;Sozinho;n
26/11/16;Corrida;1:10:17; 10,01   ;8.5;7.01;NA;NA;NA;Misto;105;782;2;2;continuo;Sozinho;n
28/11/16;Corrida;0:38:06; 5,01   ;7.9 ;7.36;NA;NA;NA;Neve;87;370;2.5;0;continuo;Acompanhado;n
29/11/16;Natação;0:27:40; 1,04   ;2.2;NA;15;13.25;41;Piscina;NA;259;1.5;NA;500.500;Acompanhado;n
03/12/16;Corrida;1:04:41; 10,05   ;9.3;6.26;NA;NA;NA;Trail;109;770;1.5;0;continuo;Sozinho;n
10/12/16;Corrida;0:50:11; 7,24   ;8.7;6.56;NA;NA;NA;Estrada;99;560;2;1;continuo;Sozinho;n
13/12/16;Bicicleta;0:48:52; 13,00   ;16;NA;NA;NA;NA;Indoor;NA;NA;1;15;continuo;Sozinho;n
14/12/16;Corrida;0:58:14; 7,12   ;7.36;8.1;NA;NA;NA;Trail;179;652;1.5;13;continuo;Acompanhado;n
16/12/16;Bicicleta;1:09:00; 18,00   ;15.6;NA;NA;NA;NA;Indoor;NA;NA;1.5;14;continuo;Sozinho;n
18/12/16;Corrida;1:46:33; 12,35   ;7.0;8.37;NA;NA;NA;Trail;512;921;2;14;continuo;Acompanhado;Prova
21/12/16;Corrida;0:54:21; 8,00   ;8.8;6.47;NA;NA;NA;Trail;225;616;1;12;continuo;Acompanhado;n
22/12/16;Bicicleta;0:58:50; 15,00   ;15;NA;NA;NA;NA;Indoor;NA;NA;1.5;16;continuo;Sozinho;n
01/01/17;Corrida;0:40:53; 5,39   ;7.9;7.35;NA;NA;NA;Trail;83;416;1;3;continuo;Acompanhado;n
03/01/17;Corrida;0:49:29; 7,71   ;9.4;6.25;NA;NA;NA;Estrada;80;584;1.5;-3;continuo;Sozinho;n
04/01/17;Bicicleta;1:01:59; 12,31   ;11.9;NA;NA;NA;NA;Estrada;80;290;1.5;-5;Descontinuo;Sozinho;n
08/01/17;Corrida;0:51:45; 7,06   ;8.2;7.18;NA;NA;NA;Estrada;65;516;1;-2;continuo;Acompanhado;n
09/01/17;Corrida;0:35:25; 5,00   ;8.5 ;7.05;NA;NA;NA;Trail;37;384;2;3;continuo;Acompanhado;n
12/01/17;Natação;0:13:49; 0,52   ;2.3;NA;14;13:49;40;Piscina;NA;129;1.5;NA;continuo;Sozinho;n
